Citation Number,Date Time Issued,Street Number,Street Name,Cross Street,Charge Code,Charge Description
R4854976,6/6/16 14:10,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R4854976,6/6/16 14:10,,MASSACHUSETTS AVE,UPLAND RD,85/11B,BICYCLE VIOLATION c85 S11B
R4854977,6/6/16 14:25,,LINDEN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R4854977,6/6/16 14:25,,LINDEN ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R6588250,6/6/16 16:48,,LOWELL ST,MT AUBURN ST,85/11B,BICYCLE VIOLATION c85 S11B
R7718981,6/7/16 9:15,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718982,6/7/16 9:20,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718983,6/7/16 9:25,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718985,6/7/16 9:35,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718986,6/7/16 9:40,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718987,6/7/16 9:45,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
R7718988,6/7/16 9:50,,BEECH ST,MASSACHUSETTS AVE,85/11B,BICYCLE VIOLATION c85 S11B
